,average_first_mine_timestep,average_total_resources_gathered
MicrortsGlobalAgentsMaxResources8x8Prod-v0,2000,0
MicrortsGlobalAgentsMaxResources8x8Prod-v0,2000,0
MicrortsGlobalAgentsMaxResources8x8Prod-v0,2000,0
MicrortsGlobalAgentsMaxResources6x6Prod-v0,2000,0.166666667
MicrortsGlobalAgentsMaxResources6x6Prod-v0,2000,0
MicrortsGlobalAgentsMaxResources6x6Prod-v0,2000,0
MicrortsGlobalAgentsMaxResources4x4Prod-v0,499.3333333,14.83333333
MicrortsGlobalAgentsMaxResources4x4Prod-v0,911.3333333,5.5
MicrortsGlobalAgentsMaxResources4x4Prod-v0,604.1666667,12.33333333
MicrortsLocalAgentsMaxResources8x8Window2Prod-v0,2000,0
MicrortsLocalAgentsMaxResources8x8Window2Prod-v0,2000,0
MicrortsLocalAgentsMaxResources8x8Window2Prod-v0,2000,0
MicrortsLocalAgentsMaxResources8x8Window1Prod-v0,2000,0
MicrortsLocalAgentsMaxResources8x8Window1Prod-v0,2000,0.5
MicrortsLocalAgentsMaxResources8x8Window1Prod-v0,2000,0
MicrortsLocalAgentsMaxResources6x6Window2Prod-v0,1027.333333,3.333333333
MicrortsLocalAgentsMaxResources6x6Window2Prod-v0,1049.666667,3.333333333
MicrortsLocalAgentsMaxResources6x6Window2Prod-v0,737.3333333,3.666666667
MicrortsLocalAgentsMaxResources6x6Window1Prod-v0,1181.833333,2.5
MicrortsLocalAgentsMaxResources6x6Window1Prod-v0,757.1666667,5
MicrortsLocalAgentsMaxResources6x6Window1Prod-v0,1817.833333,1.166666667
MicrortsLocalAgentsMaxResources4x4Window2Prod-v0,415,29.16666667
MicrortsLocalAgentsMaxResources4x4Window2Prod-v0,403.5,29.66666667
MicrortsLocalAgentsMaxResources4x4Window2Prod-v0,451.8333333,24.5
MicrortsLocalAgentsMaxResources4x4Window1Prod-v0,379.5,76
MicrortsLocalAgentsMaxResources4x4Window1Prod-v0,374.8333333,86.83333333
MicrortsLocalAgentsMaxResources4x4Window1Prod-v0,1031.833333,4.5
